No.,Chromosome ,start,end,DMR length (bp),No. CpGs in DMR,strand,pval,qval,Methylation difference (tumor/normal)* ,Genomic locus,Methylated in:
11,chr14,95239299,95239885,587,46,*,3.41507893954969E-06,8.18549877302153E-05,0.568041368942093,1to5kb.GSC,cADN and SSL specific markers
12,chr7,35225289,35226714,1426,108,*,3.41507893954969E-06,8.18549877302153E-05,0.593423001285164,promoter.DPY19L2P1/5UTR.DPY19L2P1/exon.DPY19L2P1/intron.DPY19L2P1,cADN and SSL specific markers
13,chr1,20878986,20879968,983,110,*,3.41507893954969E-06,8.18549877302153E-05,0.617450074864182,CDS.FAM43B/5UTR.FAM43B/exon.FAM43B,cADN and SSL specific markers
14,chr8,69242819,69244286,1468,107,*,3.41507893954969E-06,8.18549877302153E-05,0.692146341044451,promoter.C8orf34/promoter.C8orf34-AS1/CDS.C8orf34/CDS.C8orf34-AS1/5UTR.C8orf34/5UTR.C8orf34-AS1/exon.C8orf34/exon.C8orf34-AS1/intron.C8orf34/intron.C8orf34-AS1,cADN and SSL specific markers
15,chr1,91184765,91185791,1027,65,*,3.41507893954969E-06,8.18549877302153E-05,0.564131314674826,1to5kb.BARHL2,cADN and SSL specific markers
16,chr3,192232468,192232990,523,46,*,3.41507893954969E-06,8.18549877302153E-05,0.696850873991524,intron.FGF12,cADN and SSL specific markers
17,chr12,64061801,64063217,1417,103,*,3.41507893954969E-06,8.18549877302153E-05,0.588590340739899,promoter.DPY19L2/CDS.DPY19L2/5UTR.DPY19L2/exon.DPY19L2/intron.DPY19L2,cADN and SSL specific markers
18,chr11,7272795,7273880,1086,107,*,3.41507893954969E-06,8.18549877302153E-05,0.585705277757403,promoter.SYT9/CDS.SYT9/5UTR.SYT9/exon.SYT9/intron.SYT9,cADN and SSL specific markers
19,chr20,61808614,61809143,530,83,*,3.41507893954969E-06,8.18549877302153E-05,0.61551795146506,promoter.MIR124-3/1to5kb.MIR124-3,cADN and SSL specific markers
20,chr14,74706813,74707050,238,27,*,3.41507893954969E-06,8.18549877302153E-05,0.574990057436546,intron.VSX2,cADN and SSL specific markers
21,chr22,48885321,48885588,268,34,*,3.41507893954969E-06,8.18549877302153E-05,0.6750177490338,CDS.TAFA5/5UTR.TAFA5/exon.TAFA5/intron.TAFA5,cADN and SSL specific markers
22,chr5,45695159,45696639,1481,150,*,3.41507893954969E-06,8.18549877302153E-05,0.579915123405308,promoter.HCN1/CDS.HCN1/5UTR.HCN1/exon.HCN1/intron.HCN1,cADN and SSL specific markers
23,chr2,91635536,91635726,191,20,*,3.41507893954969E-06,8.18549877302153E-05,0.562746719233252,intergenic.NA,cADN and SSL specific markers
24,chr11,44330419,44331391,973,92,*,3.41507893954969E-06,8.18549877302153E-05,0.603289074226305,CDS.ALX4/exon.ALX4/intron.ALX4,cADN and SSL specific markers
25,chr19,48946474,48946702,229,37,*,3.41507893954969E-06,8.18549877302153E-05,0.713489981122746,1to5kb.GRWD1/CDS.GRIN2D/exon.GRIN2D,cADN and SSL specific markers
26,chr21,44494625,44495721,1097,111,*,3.41507893954969E-06,8.18549877302153E-05,0.54804426031142,intron.CBS,cADN and SSL specific markers
27,chr19,53635517,53636309,793,51,*,3.41507893954969E-06,8.18549877302153E-05,0.639852018968409,promoter.ZNF415/5UTR.ZNF415/exon.ZNF415/intron.ZNF415,cADN and SSL specific markers
28,chr2,87016120,87016788,669,58,*,3.41507893954969E-06,8.18549877302153E-05,0.592366290940502,CDS.CD8A/exon.CD8A/intron.RMND5A/intron.CD8A,cADN and SSL specific markers
29,chr8,70982972,70983871,900,78,*,3.41507893954969E-06,8.18549877302153E-05,0.643322291109488,promoter.PRDM14/5UTR.PRDM14/exon.PRDM14/intron.PRDM14,cADN and SSL specific markers
30,chr1,91182034,91182821,788,59,*,3.41507893954969E-06,8.18549877302153E-05,0.652372871519165,promoter.BARHL2/CDS.BARHL2/5UTR.BARHL2/exon.BARHL2/intron.BARHL2,cADN and SSL specific markers
31,chr7,84815025,84815260,236,14,*,3.41507893954969E-06,8.18549877302153E-05,0.591717323793793,intron.SEMA3D,cADN and SSL specific markers
32,chr2,193059094,193059767,674,56,*,3.41507893954969E-06,8.18549877302153E-05,0.691311710485106,promoter.TMEFF2/CDS.TMEFF2/5UTR.TMEFF2/exon.TMEFF2,cADN and SSL specific markers
33,chr19,34113098,34113573,476,58,*,3.41507893954969E-06,8.18549877302153E-05,0.697762982857314,5UTR.CHST8/exon.CHST8/intron.CHST8,cADN and SSL specific markers
34,chr5,140856209,140856608,400,38,*,3.41507893954969E-06,8.18549877302153E-05,0.69072134195777,CDS.PCDHGC3/exon.PCDHGC3/intron.PCDHGA1/intron.PCDHGA2/intron.PCDHGA3/intron.PCDHGB1/intron.PCDHGA4/intron.PCDHGB2/intron.PCDHGA5/intron.PCDHGB3/intron.PCDHGA6/intron.PCDHGA7/intron.PCDHGB4/intron.PCDHGA8/intron.PCDHGB5/intron.PCDHGA9/intron.PCDHGB6/intron.PCDHGA10/intron.PCDHGB7/intron.PCDHGA11/intron.PCDHGA12/intron.PCDHGC3,cADN and SSL specific markers
35,chr6,62995856,62996776,921,63,*,3.41507893954969E-06,8.18549877302153E-05,0.798843135573189,promoter.KHDRBS2/5UTR.KHDRBS2/exon.KHDRBS2,cADN and SSL specific markers
36,chr8,145106921,145107290,370,41,*,3.41507893954969E-06,8.18549877302153E-05,0.722599742900638,CDS.OPLAH/exon.OPLAH/intron.OPLAH,cADN and SSL specific markers
37,chr3,140770268,140771448,1181,98,*,3.41507893954969E-06,8.18549877302153E-05,0.66298014793668,promoter.SPSB4/5UTR.SPSB4/exon.SPSB4/intron.SPSB4,cADN and SSL specific markers
38,chr4,155412229,155412563,335,27,*,3.41507893954969E-06,8.18549877302153E-05,0.682395642436362,CDS.DCHS2/5UTR.DCHS2/exon.DCHS2,cADN and SSL specific markers
39,chr14,95234613,95235603,991,99,*,3.41507893954969E-06,8.18549877302153E-05,0.611956192538074,CDS.GSC/exon.GSC/intron.GSC/3UTR.GSC,cADN and SSL specific markers
40,chr11,134145778,134146411,634,64,*,3.41507893954969E-06,8.18549877302153E-05,0.630169202198295,promoter.GLB1L3/1to5kb.GLB1L3/5UTR.GLB1L3/exon.GLB1L3,cADN and SSL specific markers
41,chr10,83633945,83634631,687,80,*,3.41507893954969E-06,8.18549877302153E-05,0.558667745404853,promoter.NRG3/1to5kb.NRG3,cADN and SSL specific markers
42,chr4,157997139,157997970,832,89,*,3.41507893954969E-06,8.18549877302153E-05,0.651615155361219,promoter.GLRB/5UTR.GLRB/exon.GLRB/intron.GLRB,cADN and SSL specific markers
43,chr18,77558769,77558974,206,22,*,3.41507893954969E-06,8.18549877302153E-05,0.615971714281736,intergenic.NA,cADN and SSL specific markers
44,chr2,100938738,100939162,425,47,*,3.41507893954969E-06,8.18549877302153E-05,0.791178221903468,5UTR.LONRF2/exon.LONRF2,cADN and SSL specific markers
45,chr10,23983417,23984048,632,69,*,3.41507893954969E-06,8.18549877302153E-05,0.665201179574461,promoter.KIAA1217/5UTR.KIAA1217/exon.KIAA1217,cADN and SSL specific markers
46,chr14,61104233,61104662,430,38,*,3.41507893954969E-06,8.18549877302153E-05,0.588102319691451,intergenic.NA,cADN and SSL specific markers
47,chr4,155663254,155664266,1013,58,*,3.41507893954969E-06,8.18549877302153E-05,0.564931293211872,promoter.LRAT/1to5kb.LRAT/intron.NA,cADN and SSL specific markers
48,chr13,110960101,110960697,597,54,*,3.41507893954969E-06,8.18549877302153E-05,0.759352126803277,promoter.COL4A1/1to5kb.COL4A1/CDS.COL4A2/5UTR.COL4A2/exon.COL4A2/intron.COL4A2,cADN and SSL specific markers
49,chr1,110611431,110612588,1158,96,*,3.41507893954969E-06,8.18549877302153E-05,0.532878384511637,intron.ALX3,cADN and SSL specific markers
50,chr10,110671663,110672325,663,45,*,3.41507893954969E-06,8.18549877302153E-05,0.602177454025308,intergenic.NA,cADN and SSL specific markers
51,chr9,970211,971122,912,61,*,3.41507893954969E-06,8.18549877302153E-05,0.596111208054999,intergenic.NA,cADN and SSL specific markers
52,chr16,22826054,22826334,281,34,*,3.41507893954969E-06,8.18549877302153E-05,0.674600023576039,CDS.HS3ST2/exon.HS3ST2,cADN and SSL specific markers
53,chr14,97684987,97686088,1102,80,*,3.41507893954969E-06,8.18549877302153E-05,0.636690819039336,intergenic.NA,cADN and SSL specific markers
54,chr6,84418407,84418832,426,58,*,3.41507893954969E-06,8.18549877302153E-05,0.871608278302921,promoter.SNAP91/1to5kb.SNAP91/5UTR.SNAP91/exon.SNAP91/intron.SNAP91,cADN and SSL specific markers
55,chr5,127872958,127873842,885,88,*,3.41507893954969E-06,8.18549877302153E-05,0.650542894935211,promoter.FBN2/CDS.FBN2/5UTR.FBN2/exon.FBN2/intron.FBN2,cADN and SSL specific markers
56,chr1,200010523,200010887,365,22,*,3.41507893954969E-06,8.18549877302153E-05,0.645061919010638,1to5kb.NR5A2/intron.NR5A2,cADN and SSL specific markers
57,chr14,24045520,24045762,243,25,*,3.41507893954969E-06,8.18549877302153E-05,0.573307421826089,1to5kb.JPH4/CDS.JPH4/exon.JPH4/intron.JPH4,cADN and SSL specific markers
58,chr12,114846731,114847677,947,70,*,3.41507893954969E-06,8.18549877302153E-05,0.538619230273791,promoter.TBX5/1to5kb.TBX5/exon.TBX5-AS1/intron.TBX5-AS1,cADN and SSL specific markers
59,chr15,96959954,96960812,859,70,*,3.41507893954969E-06,8.18549877302153E-05,0.63293629281428,intergenic.NA,cADN and SSL specific markers
60,chr4,156588946,156589349,404,37,*,3.41507893954969E-06,8.18549877302153E-05,0.697205662606476,5UTR.GUCY1A1/exon.GUCY1A1/intron.GUCY1A1,cADN and SSL specific markers
61,chr8,97172736,97173075,340,39,*,3.41507893954969E-06,8.18549877302153E-05,0.650037187118647,promoter.GDF6/CDS.GDF6/5UTR.GDF6/exon.GDF6,cADN and SSL specific markers
62,chr6,152958251,152958664,414,28,*,3.41507893954969E-06,8.18549877302153E-05,0.529197239328539,promoter.SYNE1/5UTR.SYNE1/exon.SYNE1/intron.SYNE1,cADN and SSL specific markers
63,chr1,76080410,76080883,474,39,*,3.41507893954969E-06,8.18549877302153E-05,0.591951193405184,1to5kb.SLC44A5/intron.SLC44A5,cADN and SSL specific markers
64,chr10,118033241,118034093,853,53,*,3.41507893954969E-06,8.18549877302153E-05,0.613453468929138,promoter.GFRA1/1to5kb.GFRA1,cADN and SSL specific markers
65,chr2,119600305,119600775,471,38,*,3.41507893954969E-06,8.18549877302153E-05,0.593733442119765,CDS.EN1/exon.EN1/3UTR.EN1,cADN and SSL specific markers
66,chr10,131764267,131764462,196,12,*,3.41507893954969E-06,8.18549877302153E-05,0.500837262450232,1to5kb.EBF3,cADN and SSL specific markers
67,chr15,47476753,47477095,343,39,*,3.41507893954969E-06,8.18549877302153E-05,0.72952992945377,intron.SEMA6D,cADN and SSL specific markers
68,chr13,110958892,110959721,830,106,*,3.41507893954969E-06,8.18549877302153E-05,0.669555893839813,promoter.COL4A2/promoter.COL4A1/CDS.COL4A1/5UTR.COL4A2/5UTR.COL4A1/exon.COL4A2/exon.COL4A1/intron.COL4A1,cADN and SSL specific markers
69,chr16,87636520,87636923,404,50,*,3.41507893954969E-06,8.18549877302153E-05,0.679297326156886,CDS.JPH3/5UTR.JPH3/exon.JPH3/intron.JPH3,cADN and SSL specific markers
70,chr18,7567636,7568416,781,94,*,3.41507893954969E-06,8.18549877302153E-05,0.647427336316321,CDS.PTPRM/5UTR.PTPRM/exon.PTPRM/intron.PTPRM,cADN and SSL specific markers
71,chr5,146257297,146258615,1319,100,*,3.41507893954969E-06,8.18549877302153E-05,0.562384184290223,promoter.PPP2R2B/CDS.PPP2R2B/5UTR.PPP2R2B/exon.PPP2R2B/intron.PPP2R2B,cADN and SSL specific markers
72,chr3,44039118,44040239,1122,65,*,3.41507893954969E-06,8.18549877302153E-05,0.662102621276803,intergenic.NA,cADN and SSL specific markers
73,chr20,21492488,21493071,584,61,*,3.41507893954969E-06,8.18549877302153E-05,0.599805130312119,CDS.NKX2-2/exon.NKX2-2/3UTR.NKX2-2,cADN and SSL specific markers
74,chr6,133561575,133562555,981,82,*,3.41507893954969E-06,8.18549877302153E-05,0.683998106948319,promoter.EYA4/1to5kb.EYA4/5UTR.EYA4/exon.EYA4/intron.EYA4,cADN and SSL specific markers
75,chr21,34443389,34443781,393,38,*,3.41507893954969E-06,8.18549877302153E-05,0.734444356721359,exon.OLIG1/3UTR.OLIG1,cADN and SSL specific markers
76,chr4,96468896,96469666,771,46,*,3.41507893954969E-06,8.18549877302153E-05,0.579895555031029,intron.UNC5C,cADN and SSL specific markers
77,chr16,22824802,22825345,544,46,*,3.41507893954969E-06,8.18549877302153E-05,0.708377789729551,promoter.HS3ST2/1to5kb.HS3ST2,cADN and SSL specific markers
78,chr1,63785219,63785679,461,44,*,3.41507893954969E-06,8.18549877302153E-05,0.554514388741571,1to5kb.FOXD3/1to5kb.LINC00466,cADN and SSL specific markers
79,chr9,101706520,101707067,548,39,*,3.41507893954969E-06,8.18549877302153E-05,0.541082796860591,CDS.COL15A1/exon.COL15A1/intron.COL15A1,cADN and SSL specific markers
80,chr1,54203548,54204491,944,103,*,3.41507893954969E-06,8.18549877302153E-05,0.55798987985235,1to5kb.GLIS1,cADN and SSL specific markers
81,chr14,51560431,51561011,581,40,*,3.41507893954969E-06,8.18549877302153E-05,0.722573233095666,CDS.TRIM9/exon.TRIM9/intron.TRIM9,cADN and SSL specific markers
82,chr14,23834780,23835102,323,38,*,3.41507893954969E-06,8.18549877302153E-05,0.586448803627202,promoter.EFS/5UTR.EFS/exon.EFS,cADN and SSL specific markers
83,chr7,155174959,155175315,357,30,*,3.41507893954969E-06,8.18549877302153E-05,0.609737241799741,exon.NA/intron.NA,cADN and SSL specific markers
84,chr4,41884202,41884569,368,37,*,3.41507893954969E-06,8.18549877302153E-05,0.514532468371291,exon.NA/intron.NA,cADN and SSL specific markers
85,chr4,66535056,66535780,725,54,*,3.41507893954969E-06,8.18549877302153E-05,0.571310344768656,promoter.EPHA5-AS1/promoter.EPHA5/CDS.EPHA5/5UTR.EPHA5/exon.EPHA5-AS1/exon.EPHA5/intron.EPHA5,cADN and SSL specific markers
86,chr22,46262963,46263695,733,81,*,3.41507893954969E-06,8.18549877302153E-05,0.608394529186604,intergenic.NA,cADN and SSL specific markers
87,chr2,220313049,220313748,700,88,*,3.41507893954969E-06,8.18549877302153E-05,0.56031442901935,1to5kb.SPEG/CDS.SPEG/5UTR.SPEG/exon.SPEG,cADN and SSL specific markers
88,chr12,5018221,5018858,638,35,*,3.41507893954969E-06,8.18549877302153E-05,0.579675599303704,promoter.KCNA1/1to5kb.NA,cADN and SSL specific markers
89,chr14,42075315,42076090,776,50,*,3.41507893954969E-06,8.18549877302153E-05,0.630784060996032,promoter.LRFN5/1to5kb.LRFN5,cADN and SSL specific markers
90,chr12,85306215,85306854,640,55,*,3.41507893954969E-06,8.18549877302153E-05,0.687453854746215,promoter.SLC6A15/5UTR.SLC6A15/exon.SLC6A15/intron.SLC6A15,cADN and SSL specific markers
91,chr6,80656553,80657278,726,72,*,3.41507893954969E-06,8.18549877302153E-05,0.71318843634026,CDS.ELOVL4/5UTR.ELOVL4/exon.ELOVL4/intron.ELOVL4,cADN and SSL specific markers
92,chr5,76506961,76507188,228,30,*,3.41507893954969E-06,8.18549877302153E-05,0.756565628194769,CDS.PDE8B/exon.PDE8B/intron.PDE8B,cADN and SSL specific markers
93,chr8,89340050,89340524,475,36,*,3.41507893954969E-06,8.18549877302153E-05,0.583877926885481,promoter.MMP16,cADN and SSL specific markers
94,chr3,35680736,35681232,497,44,*,3.41507893954969E-06,8.18549877302153E-05,0.626979559648391,1to5kb.ARPP21/5UTR.ARPP21/exon.ARPP21,cADN and SSL specific markers
95,chr11,105481200,105481557,358,29,*,3.41507893954969E-06,8.18549877302153E-05,0.546347078433143,promoter.GRIA4/5UTR.GRIA4/exon.GRIA4/intron.GRIA4,cADN and SSL specific markers
96,chr15,92937169,92937431,263,35,*,3.41507893954969E-06,8.18549877302153E-05,0.647395895313258,CDS.ST8SIA2/5UTR.ST8SIA2/exon.ST8SIA2/intron.ST8SIA2,cADN and SSL specific markers
97,chr1,229569606,229570344,739,60,*,3.41507893954969E-06,8.18549877302153E-05,0.523366612951463,promoter.ACTA1/5UTR.ACTA1/exon.ACTA1/intron.ACTA1,cADN and SSL specific markers
98,chr5,134363290,134364099,810,68,*,3.41507893954969E-06,8.18549877302153E-05,0.53398131510812,1to5kb.C5orf66/exon.PITX1/3UTR.PITX1/intergenic.NA,cADN and SSL specific markers
99,chr3,137487672,137488099,428,36,*,3.41507893954969E-06,8.18549877302153E-05,0.537175852669258,intergenic.NA,cADN and SSL specific markers
100,chr8,25909137,25909633,497,38,*,3.41507893954969E-06,8.18549877302153E-05,0.503753242855393,intron.PPP2R2A,cADN and SSL specific markers
101,chr8,109095161,109095848,688,67,*,3.41507893954969E-06,8.18549877302153E-05,0.6378929053083,promoter.RSPO2/1to5kb.RSPO2/5UTR.RSPO2/exon.RSPO2/intron.RSPO2,cADN and SSL specific markers
102,chr16,28074312,28074811,500,74,*,3.41507893954969E-06,8.18549877302153E-05,0.633741727118309,CDS.GSG1L/5UTR.GSG1L/exon.GSG1L/intron.GSG1L,cADN and SSL specific markers
103,chr8,68864181,68864981,801,87,*,3.41507893954969E-06,8.18549877302153E-05,0.612101158627629,promoter.NA/promoter.PREX2/CDS.NA/CDS.PREX2/5UTR.NA/5UTR.PREX2/exon.NA/exon.PREX2/intron.PREX2/3UTR.NA,cADN and SSL specific markers
104,chr7,54609490,54610382,893,68,*,3.41507893954969E-06,8.18549877302153E-05,0.557913458929858,promoter.VSTM2A/5UTR.VSTM2A/exon.VSTM2A,cADN and SSL specific markers
105,chr5,37839343,37840158,816,75,*,3.41507893954969E-06,8.18549877302153E-05,0.584126126827666,promoter.GDNF-AS1/promoter.GDNF/1to5kb.GDNF-AS1/1to5kb.GDNF/5UTR.GDNF/exon.GDNF/intron.GDNF,cADN and SSL specific markers
106,chr17,10101508,10101720,213,26,*,3.41507893954969E-06,8.18549877302153E-05,0.807698405898856,CDS.GAS7/5UTR.GAS7/exon.GAS7/intron.GAS7,cADN and SSL specific markers
107,chr7,89747813,89749221,1409,109,*,3.41507893954969E-06,8.18549877302153E-05,0.578452892923637,promoter.DPY19L2P4/exon.DPY19L2P4/intron.DPY19L2P4,cADN and SSL specific markers
108,chr8,54790251,54790664,414,32,*,3.41507893954969E-06,8.18549877302153E-05,0.59573441637513,1to5kb.RGS20/intron.RGS20,cADN and SSL specific markers
109,chr2,95522599,95523243,645,60,*,3.41507893954969E-06,8.18549877302153E-05,0.619376902744515,promoter.ANKRD20A8P/exon.ANKRD20A8P/intron.ANKRD20A8P,cADN and SSL specific markers
110,chr2,149645372,149645934,563,40,*,3.41507893954969E-06,8.18549877302153E-05,0.555586244423519,intron.KIF5C,cADN and SSL specific markers
111,chr15,47476241,47476606,366,32,*,3.41507893954969E-06,8.18549877302153E-05,0.722925293639162,promoter.SEMA6D/5UTR.SEMA6D/exon.SEMA6D,cADN and SSL specific markers
112,chr19,22034395,22035024,630,45,*,3.41507893954969E-06,8.18549877302153E-05,0.711670395661254,promoter.ZNF43/CDS.ZNF43/5UTR.ZNF43/exon.ZNF43/intron.ZNF43,cADN and SSL specific markers
113,chr14,33402252,33402616,365,35,*,3.41507893954969E-06,8.18549877302153E-05,0.612638031239981,intergenic.NA,cADN and SSL specific markers
114,chr19,22018502,22019163,662,36,*,3.41507893954969E-06,8.18549877302153E-05,0.639061578354413,promoter.ZNF43/CDS.ZNF43/5UTR.ZNF43/exon.ZNF43/intron.ZNF43,cADN and SSL specific markers
115,chr8,22548336,22548828,493,32,*,3.41507893954969E-06,8.18549877302153E-05,0.535188623008713,CDS.EGR3/exon.EGR3,cADN and SSL specific markers
116,chr17,46802791,46803096,306,30,*,3.41507893954969E-06,8.18549877302153E-05,0.636429579886491,promoter.MIR3185/1to5kb.PRAC1/1to5kb.MIR3185/exon.HOXB13/3UTR.HOXB13,cADN and SSL specific markers
117,chr19,12267035,12267796,762,59,*,3.41507893954969E-06,8.18549877302153E-05,0.708074886431687,promoter.ZNF625-ZNF20/promoter.ZNF625/CDS.ZNF625/5UTR.ZNF625-ZNF20/5UTR.ZNF625/exon.ZNF625-ZNF20/exon.ZNF625/intron.ZNF625-ZNF20/intron.ZNF625,cADN and SSL specific markers
118,chr6,108488222,108489064,843,52,*,3.41507893954969E-06,8.18549877302153E-05,0.516450737570372,intron.NR2E1,cADN and SSL specific markers
119,chr4,134070093,134070441,349,30,*,3.41507893954969E-06,8.18549877302153E-05,0.688266325889631,promoter.PCDH10/promoter.NA/exon.NA/intron.NA,cADN and SSL specific markers
120,chr20,61051253,61051915,663,66,*,3.41507893954969E-06,8.18549877302153E-05,0.57160450077584,promoter.GATA5,cADN and SSL specific markers
121,chr1,221067639,221069227,1589,99,*,3.41507893954969E-06,8.18549877302153E-05,0.50846535187169,intergenic.NA,cADN and SSL specific markers
122,chr5,170735892,170736929,1038,100,*,3.41507893954969E-06,8.18549877302153E-05,0.591140439590852,promoter.TLX3/promoter.NA/1to5kb.NA/CDS.TLX3/5UTR.TLX3/exon.TLX3/intron.TLX3,cADN and SSL specific markers
123,chr18,60263545,60264350,806,72,*,3.41507893954969E-06,8.18549877302153E-05,0.586929470562021,intergenic.NA,cADN and SSL specific markers
124,chr8,67874074,67874496,423,38,*,3.41507893954969E-06,8.18549877302153E-05,0.773455793736699,5UTR.TCF24/exon.TCF24/intron.TCF24,cADN and SSL specific markers
125,chr11,133825319,133825572,254,21,*,3.41507893954969E-06,8.18549877302153E-05,0.704896373583875,intron.IGSF9B,cADN and SSL specific markers
126,chr2,48982535,48982870,336,32,*,3.41507893954969E-06,8.18549877302153E-05,0.570803787841916,CDS.LHCGR/5UTR.LHCGR/exon.LHCGR/intron.STON1-GTF2A1L/intron.LHCGR,cADN and SSL specific markers
127,chr21,22369505,22370043,539,32,*,3.41507893954969E-06,8.18549877302153E-05,0.664140380554351,promoter.NCAM2/1to5kb.NCAM2,cADN and SSL specific markers
128,chr2,172945932,172946343,412,24,*,3.41507893954969E-06,8.18549877302153E-05,0.594156531664736,1to5kb.DLX1,cADN and SSL specific markers
129,chr2,115919869,115920335,467,38,*,3.41507893954969E-06,8.18549877302153E-05,0.633179306816986,promoter.DPP10-AS1/1to5kb.DPP10-AS1/intron.DPP10,cADN and SSL specific markers
130,chr10,134755696,134756114,419,46,*,3.41507893954969E-06,8.18549877302153E-05,0.603727648231751,promoter.CFAP46/CDS.CFAP46/5UTR.CFAP46/exon.CFAP46/intron.CFAP46,cADN and SSL specific markers
131,chr8,23567194,23567905,712,50,*,3.41507893954969E-06,8.18549877302153E-05,0.541010155512579,1to5kb.NKX2-6,cADN and SSL specific markers
132,chr20,30582729,30583098,370,38,*,3.41507893954969E-06,8.18549877302153E-05,0.544023855475361,CDS.XKR7/exon.XKR7/intron.XKR7,cADN and SSL specific markers
133,chr10,100993469,100994478,1010,64,*,3.41507893954969E-06,8.18549877302153E-05,0.576020643316332,intron.HPSE2,cADN and SSL specific markers
134,chr4,107956843,107957157,315,20,*,3.41507893954969E-06,8.18549877302153E-05,0.708936548539525,5UTR.DKK2/exon.DKK2/intron.DKK2,cADN and SSL specific markers
135,chr9,99983156,99984997,1842,147,*,3.41507893954969E-06,8.18549877302153E-05,0.501255966597043,intron.NA,cADN and SSL specific markers
136,chr5,77268331,77268955,625,57,*,3.41507893954969E-06,8.18549877302153E-05,0.586519875602339,intergenic.NA,cADN and SSL specific markers
137,chr12,106979430,106980671,1242,98,*,3.41507893954969E-06,8.18549877302153E-05,0.546265194357754,intron.RFX4/intron.LOC100287944,cADN and SSL specific markers
138,chr5,10565190,10565296,107,11,*,3.41507893954969E-06,8.18549877302153E-05,0.808585065433316,intron.ANKRD33B,cADN and SSL specific markers
139,chr14,57263949,57264765,817,47,*,3.41507893954969E-06,8.18549877302153E-05,0.625800116850853,intergenic.NA,cADN and SSL specific markers
140,chr5,1882710,1883019,310,36,*,3.41507893954969E-06,8.18549877302153E-05,0.604656864804188,promoter.IRX4/CDS.IRX4/5UTR.IRX4/exon.IRX4/intron.IRX4,cADN and SSL specific markers
141,chr16,77468277,77468602,326,37,*,3.41507893954969E-06,8.18549877302153E-05,0.535475253974403,promoter.ADAMTS18/CDS.ADAMTS18/5UTR.ADAMTS18/exon.ADAMTS18/intron.ADAMTS18,cADN and SSL specific markers
142,chr15,23158137,23158453,317,41,*,3.41507893954969E-06,8.18549877302153E-05,0.547005425264434,intergenic.NA,cADN and SSL specific markers
143,chr1,2984167,2984901,735,73,*,3.41507893954969E-06,8.18549877302153E-05,0.609873626735083,promoter.PRDM16/promoter.PRDM16-DT/1to5kb.PRDM16/1to5kb.PRDM16-DT/5UTR.PRDM16-DT/exon.PRDM16-DT,cADN and SSL specific markers
144,chr12,85305493,85306066,574,29,*,3.41507893954969E-06,8.18549877302153E-05,0.665922371364842,intron.SLC6A15,cADN and SSL specific markers
145,chr4,20255023,20255473,451,25,*,3.41507893954969E-06,8.18549877302153E-05,0.617549644743198,promoter.SLIT2/CDS.SLIT2/5UTR.SLIT2/exon.SLIT2,cADN and SSL specific markers
146,chr11,22214931,22215407,477,35,*,3.41507893954969E-06,8.18549877302153E-05,0.54757824139773,CDS.ANO5/5UTR.ANO5/exon.ANO5/intron.ANO5,cADN and SSL specific markers
